 7767248,"
                        
                                HP MINI 200-4201SP                            
                                
                                                    ",HP,MINI,200-4201SP,"
                        
                                HP MINI 200-4201SP                            
                                
                                                    ","
                        
                                HP MINI 200-4201SP                            
                                
                                                    ","
                                 LCD Screen                            ","
                                10.1"" WideScreen                            ","
                                WSVGA (1024x600)                            ","
                                Matte                            ","
                                40 pin video connector                            ",,,Lifetime,$27.99,https://www.laptopscreen.com/English/model/HP/MINI~200-4201SP/
 3615334,"
                        
                                HP 17-BY3024NB                            
                                
                                                    ",HP,17-BY3024NB,"
                        
                                HP 17-BY3024NB                            
                                
                                                    ","
                        
                                HP 17-BY3024NB                            
                                
                                                    ","
                        
                                HP 17-BY3024NB                            
                                
                                                    ","
                                 LCD Screen                            ","
                                17.3"" WideScreen                            ","
                                FHD (1920x1080)                            ","
                                Matte                            ","
                                30 pin video connector                            ","
                                Top and Bottom Brackets                            ","
                                IPS                            ",Lifetime,$129.99,https://www.laptopscreen.com/English/model/HP/17-BY3024NB/
 4571709,"
                        
                                HP MINI 210-2204SI                            
                                
                                                    ",HP,MINI,210-2204SI,"
                        
                                HP MINI 210-2204SI                            
                                
                                                    ","
                        
                                HP MINI 210-2204SI                            
                                
                                                    ","
                                 LCD Screen                            ","
                                10.1"" WideScreen                            ","
                                HD (1366x768)                            ","
                                Glossy                            ","
                                40 pin video connector                            ",,,Lifetime,$27.99,https://www.laptopscreen.com/English/model/HP/MINI~210-2204SI/
 9698373,"
                        
                                HP OMEN 17-AN025NM                            
                                
                                                    ",HP,OMEN,17-AN025NM,"
                        
                                HP OMEN 17-AN025NM                            
                                
                                                    ","
                        
                                HP OMEN 17-AN025NM                            
                                
                                                    ","
                                 LCD Screen                            ","
                                17.3"" WideScreen                            ","
                                FHD (1920x1080)                            ","
                                Matte                            ","
                                40 pin video connector                            ","
                                Top and Bottom Brackets                            ",,Lifetime,$99.99,https://www.laptopscreen.com/English/model/HP/OMEN~17-AN025NM/
 6339457,"
                        
                                HP 17-BY0158UR                            
                                
                                                    ",HP,17-BY0158UR,"
                        
                                HP 17-BY0158UR                            
                                
                                                    ","
                        
                                HP 17-BY0158UR                            
                                
                                                    ","
                        
                                HP 17-BY0158UR                            
                                
                                                    ","
                                 LCD Screen                            ","
                                17.3"" WideScreen                            ","
                                HD+ (1600x900)                            ","
                                Matte                            ","
                                30 pin video connector                            ","
                                Top and Bottom Brackets                            ",,Lifetime,$78.99,https://www.laptopscreen.com/English/model/HP/17-BY0158UR/
 2657728,"
                        
                                HP ENVY 13-AD112ND                            
                                
                                                    ",HP,ENVY,13-AD112ND,"
                        
                                HP ENVY 13-AD112ND                            
                                
                                                    ","
                        
                                HP ENVY 13-AD112ND                            
                                
                                                    ","
                                 LCD Screen                            ","
                                13.3"" WideScreen                            ","
                                FHD (1920x1080)                            ",,,"
                                No Brackets                            ","
                                IPS                            ",Lifetime,$144.99,https://www.laptopscreen.com/English/model/HP/ENVY~13-AD112ND/
 6208423,"
                        
                                HP 14-CM0043AU                            
                                
                                                    ",HP,14-CM0043AU,"
                        
                                HP 14-CM0043AU                            
                                
                                                    ","
                        
                                HP 14-CM0043AU                            
                                
                                                    ","
                        
                                HP 14-CM0043AU                            
                                
                                                    ","
                                 LCD Screen                            ","
                                14.0"" WideScreen                            ","
                                HD (1366x768)                            ","
                                Matte                            ","
                                30 pin video connector                            ","
                                Top and Bottom Brackets                            ",,Lifetime,$89.99,https://www.laptopscreen.com/English/model/HP/14-CM0043AU/
 4441582,"
                        
                                HP PAVILION G4-1043TX                            
                                
                                                    ",HP,PAVILION,G4-1043TX,"
                        
                                HP PAVILION G4-1043TX                            
                                
                                                    ","
                        
                                HP PAVILION G4-1043TX                            
                                
                                                    ","
                                 LCD Screen                            ","
                                14.0"" WideScreen                            ","
                                HD (1366x768)                            ","
                                Matte                            ","
                                40 pin video connector                            ",,,Lifetime,$69.99,https://www.laptopscreen.com/English/model/HP/PAVILION~G4-1043TX/
 5258580,"
                        
                                HP PAVILION DV6-1335DX                            
                                
                                                    ",HP,PAVILION,DV6-1335DX,"
                        
                                HP PAVILION DV6-1335DX                            
                                
                                                    ","
                        
                                HP PAVILION DV6-1335DX                            
                                
                                                    ","
                                 LCD Screen                            ","
                                15.6"" WideScreen                            ","
                                HD (1366x768)                            ","
                                Glossy                            ","
                                40 pin video connector                            ",,,Lifetime,$66.99,https://www.laptopscreen.com/English/model/HP/PAVILION~DV6-1335DX/
 6879709,"
                        
                                HP ENVY X360 15-DR0250ND                            
                                
                                                    ",HP,ENVY,X360,"
                        
                                HP ENVY X360 15-DR0250ND                            
                                
                                                    ","
                        
                                HP ENVY X360 15-DR0250ND                            
                                
                                                    ","
                                Touch Digitizer                            ","
                                15.6"" WideScreen                            ","
                                FHD (1920x1080)                            ","
                                Glossy                            ","
                                30 pin video connector                            ","
                                No Brackets                            ","
                                IPS                            ",Lifetime,$71.99,https://www.laptopscreen.com/English/model/HP/ENVY~X360~15-DR0250ND/
 7106313,"
                        
                                HP 15-R208NK                            
                                
                                                    ",HP,15-R208NK,"
                        
                                HP 15-R208NK                            
                                
                                                    ","
                        
                                HP 15-R208NK                            
                                
                                                    ","
                        
                                HP 15-R208NK                            
                                
                                                    ","
                                 LCD Screen                            ","
                                15.6"" WideScreen                            ","
                                HD (1366x768)                            ","
                                Matte                            ","
                                40 pin video connector                            ","
                                Top and Bottom Brackets                            ",,Lifetime,$99.99,https://www.laptopscreen.com/English/model/HP/15-R208NK/
 1335213,"
                        
                                HP 15-BS040NT                            
                                
                                                    ",HP,15-BS040NT,"
                        
                                HP 15-BS040NT                            
                                
                                                    ","
                        
                                HP 15-BS040NT                            
                                
                                                    ","
                        
                                HP 15-BS040NT                            
                                
                                                    ","
                                 LCD Screen                            ","
                                15.6"" WideScreen                            ","
                                FHD (1920x1080)                            ","
                                Glossy                            ","
                                30 pin video connector                            ","
                                Top and Bottom Brackets                            ",,Lifetime,$83.99,https://www.laptopscreen.com/English/model/HP/15-BS040NT/
 7930618,"
                        
                                HP PAVILION 15-CS1011NA                            
                                
                                                    ",HP,PAVILION,15-CS1011NA,"
                        
                                HP PAVILION 15-CS1011NA                            
                                
                                                    ","
                        
                                HP PAVILION 15-CS1011NA                            
                                
                                                    ","
                                 LCD Screen                            ","
                                15.6"" WideScreen                            ","
                                FHD (1920x1080)                            ","
                                Glossy                            ","
                                30 pin video connector                            ","
                                No Brackets                            ","
                                IPS                            ",Lifetime,$88.88,https://www.laptopscreen.com/English/model/HP/PAVILION~15-CS1011NA/
 7978412,"
                        
                                HP 14-DK1005NE                            
                                
                                                    ",HP,14-DK1005NE,"
                        
                                HP 14-DK1005NE                            
                                
                                                    ","
                        
                                HP 14-DK1005NE                            
                                
                                                    ","
                        
                                HP 14-DK1005NE                            
                                
                                                    ","
                                 LCD Screen                            ","
                                14.0"" WideScreen                            ","
                                HD (1366x768)                            ","
                                Matte                            ","
                                30 pin video connector                            ","
                                No Brackets                            ",,Lifetime,$76.99,https://www.laptopscreen.com/English/model/HP/14-DK1005NE/
 9942300,"
                        
                                HP 15-DA0001TX                            
                                
                                                    ",HP,15-DA0001TX,"
                        
                                HP 15-DA0001TX                            
                                
                                                    ","
                        
                                HP 15-DA0001TX                            
                                
                                                    ","
                        
                                HP 15-DA0001TX                            
                                
                                                    ","
                                 LCD Screen                            ","
                                15.6"" WideScreen                            ","
                                HD (1366x768)                            ","
                                Matte                            ","
                                30 pin video connector                            ","
                                Top and Bottom Brackets                            ",,Lifetime,$86.99,https://www.laptopscreen.com/English/model/HP/15-DA0001TX/
 8258959,"
                        
                                HP PAVILION 17-G127UR                            
                                
                                                    ",HP,PAVILION,17-G127UR,"
                        
                                HP PAVILION 17-G127UR                            
                                
                                                    ","
                        
                                HP PAVILION 17-G127UR                            
                                
                                                    ","
                                 LCD Screen                            ","
                                17.3"" WideScreen                            ","
                                HD+ (1600x900)                            ","
                                Matte                            ","
                                40 pin video connector                            ",,,Lifetime,$139.99,https://www.laptopscreen.com/English/model/HP/PAVILION~17-G127UR/
 3213034,"
                        
                                HP OMEN 15-DH1055NG                            
                                
                                                    ",HP,OMEN,15-DH1055NG,"
                        
                                HP OMEN 15-DH1055NG                            
                                
                                                    ","
                        
                                HP OMEN 15-DH1055NG                            
                                
                                                    ","
                                 LCD Screen                            ","
                                15.6"" WideScreen                            ","
                                FHD (1920x1080)                            ","
                                Matte                            ","
                                40 pin video connector                            ","
                                No Brackets                            ","
                                IPS                            ",Lifetime,$199.99,https://www.laptopscreen.com/English/model/HP/OMEN~15-DH1055NG/
 5545889,"
                        
                                HP PAVILION G7-1302ES                            
                                
                                                    ",HP,PAVILION,G7-1302ES,"
                        
                                HP PAVILION G7-1302ES                            
                                
                                                    ","
                        
                                HP PAVILION G7-1302ES                            
                                
                                                    ","
                                 LCD Screen                            ","
                                17.3"" WideScreen                            ","
                                HD+ (1600x900)                            ","
                                Matte                            ","
                                40 pin video connector                            ",,,Lifetime,$139.99,https://www.laptopscreen.com/English/model/HP/PAVILION~G7-1302ES/
