 3491699,"
                        
                                Lenovo THINKPAD T480 20L6001MGM                            
                                
                                                    ",Lenovo,THINKPAD,T480,"
                        
                                Lenovo THINKPAD T480 20L6001MGM                            
                                
                                                    ","
                        
                                Lenovo THINKPAD T480 20L6001MGM                            
                                
                                                    ","
                                On-Cell Touch Display                            ","
                                14.0"" WideScreen                            ","
                                FHD (1920x1080)                            ","
                                Matte                            ","
                                40 pin video connector                            ","
                                Top and Bottom Brackets                            ","
                                IPS                            ",Lifetime,$149.99,https://www.laptopscreen.com/English/model/Lenovo/THINKPAD~T480~20L6001MGM/
 7416866,"
                        
                                Lenovo THINKPAD T490 20N20048ZA                            
                                
                                                    ",Lenovo,THINKPAD,T490,"
                        
                                Lenovo THINKPAD T490 20N20048ZA                            
                                
                                                    ","
                        
                                Lenovo THINKPAD T490 20N20048ZA                            
                                
                                                    ","
                                 LCD Screen                            ","
                                14.0"" WideScreen                            ","
                                QHD (2560x1440)                            ",,"
                                40 pin video connector                            ",,,Lifetime,$144.99,https://www.laptopscreen.com/English/model/Lenovo/THINKPAD~T490~20N20048ZA/
 8472772,"
                        
                                Lenovo THINKPAD P14S 20VX0013YA                            
                                
                                                    ",Lenovo,THINKPAD,P14S,"
                        
                                Lenovo THINKPAD P14S 20VX0013YA                            
                                
                                                    ","
                        
                                Lenovo THINKPAD P14S 20VX0013YA                            
                                
                                                    ","
                                 LCD Screen                            ","
                                14.0"" WideScreen                            ","
                                FHD (1920x1080)                            ","
                                Glossy                            ","
                                30 pin video connector                            ","
                                No Brackets                            ","
                                IPS                            ",Lifetime,$89.99,https://www.laptopscreen.com/English/model/Lenovo/THINKPAD~P14S~20VX0013YA/
 225131,"
                        
                                Lenovo TAB 7 ESSENTIAL ZA310025ZA                            
                                
                                                    ",Lenovo,TAB,7,"
                        
                                Lenovo TAB 7 ESSENTIAL ZA310025ZA                            
                                
                                                    ","
                        
                                Lenovo TAB 7 ESSENTIAL ZA310025ZA                            
                                
                                                    ","
                                LCD Screen + Touch Digitizer                            ",,"
                                FHD (1920x1080)                            ","
                                Glossy                            ",,,,Lifetime,$74.99,https://www.laptopscreen.com/English/model/Lenovo/TAB~7~ESSENTIAL~ZA310025ZA/
 965345,"
                        
                                Lenovo THINKPAD T480 20L50050MB                            
                                
                                                    ",Lenovo,THINKPAD,T480,"
                        
                                Lenovo THINKPAD T480 20L50050MB                            
                                
                                                    ","
                        
                                Lenovo THINKPAD T480 20L50050MB                            
                                
                                                    ","
                                 LCD Screen                            ","
                                14.0"" WideScreen                            ","
                                FHD (1920x1080)                            ","
                                Glossy                            ","
                                30 pin video connector                            ","
                                Top and Bottom Brackets                            ","
                                IPS                            ",Lifetime,$75.99,https://www.laptopscreen.com/English/model/Lenovo/THINKPAD~T480~20L50050MB/
 525906,"
                        
                                Lenovo THINKPAD X1 CARBON 20KH0079MZ                            
                                
                                                    ",Lenovo,THINKPAD,X1,"
                        
                                Lenovo THINKPAD X1 CARBON 20KH0079MZ                            
                                
                                                    ","
                        
                                Lenovo THINKPAD X1 CARBON 20KH0079MZ                            
                                
                                                    ","
                                 LCD Screen                            ","
                                14.0"" WideScreen                            ","
                                QHD (2560x1440)                            ",,"
                                40 pin video connector                            ",,,Lifetime,$144.99,https://www.laptopscreen.com/English/model/Lenovo/THINKPAD~X1~CARBON~20KH0079MZ/
 2136213,"
                        
                                Lenovo THINKPAD E15 20RD007VIX                            
                                
                                                    ",Lenovo,THINKPAD,E15,"
                        
                                Lenovo THINKPAD E15 20RD007VIX                            
                                
                                                    ","
                        
                                Lenovo THINKPAD E15 20RD007VIX                            
                                
                                                    ","
                                 LCD Screen                            ","
                                15.6"" WideScreen                            ","
                                FHD (1920x1080)                            ","
                                Glossy                            ","
                                30 pin video connector                            ","
                                No Brackets                            ","
                                IPS                            ",Lifetime,$88.88,https://www.laptopscreen.com/English/model/Lenovo/THINKPAD~E15~20RD007VIX/
 3463652,"
                        
                                Lenovo THINKPAD P14S 20VX0007EE                            
                                
                                                    ",Lenovo,THINKPAD,P14S,"
                        
                                Lenovo THINKPAD P14S 20VX0007EE                            
                                
                                                    ","
                        
                                Lenovo THINKPAD P14S 20VX0007EE                            
                                
                                                    ","
                                 LCD Screen                            ",,"
                                FHD (1920x1080)                            ",,"
                                40 pin video connector                            ",,,Lifetime,$119.99,https://www.laptopscreen.com/English/model/Lenovo/THINKPAD~P14S~20VX0007EE/
 6577210,"
                        
                                Lenovo CHROMEBOOK FLEX 5 82B8002RMH                            
                                
                                                    ",Lenovo,CHROMEBOOK,FLEX,"
                        
                                Lenovo CHROMEBOOK FLEX 5 82B8002RMH                            
                                
                                                    ","
                        
                                Lenovo CHROMEBOOK FLEX 5 82B8002RMH                            
                                
                                                    ","
                                LCD screen + Touch Digitizer + Bezel                            ",,"
                                FHD (1920x1080)                            ",,,,"
                                IPS                            ",Lifetime,$119.99,https://www.laptopscreen.com/English/model/Lenovo/CHROMEBOOK~FLEX~5~82B8002RMH/
 621209,"
                        
                                Lenovo THINKPAD P1 20QT0030PG                            
                                
                                                    ",Lenovo,THINKPAD,P1,"
                        
                                Lenovo THINKPAD P1 20QT0030PG                            
                                
                                                    ","
                        
                                Lenovo THINKPAD P1 20QT0030PG                            
                                
                                                    ","
                                 LCD Screen                            ","
                                15.6"" WideScreen                            ","
                                UHD (3840x2160)                            ",,"
                                40 pin video connector                            ",,,Lifetime,$74.99,https://www.laptopscreen.com/English/model/Lenovo/THINKPAD~P1~20QT0030PG/
 597527,"
                        
                                Lenovo IDEAPAD U160 0894                            
                                
                                                    ",Lenovo,IDEAPAD,U160,"
                        
                                Lenovo IDEAPAD U160 0894                            
                                
                                                    ","
                        
                                Lenovo IDEAPAD U160 0894                            
                                
                                                    ","
                                 LCD Screen                            ","
                                11.6"" WideScreen                            ","
                                HD (1366x768)                            ","
                                Matte                            ","
                                40 pin video connector                            ","
                                Side Brackets                            ",,Lifetime,$62.99,https://www.laptopscreen.com/English/model/Lenovo/IDEAPAD~U160~0894/
